"Category";"Visitors";"Passersby"
"07/10/2024 00:00";0;0
"07/10/2024 01:00";0;0
"07/10/2024 02:00";0;32
"07/10/2024 03:00";0;27
"07/10/2024 04:00";0;3
"07/10/2024 05:00";0;77
"07/10/2024 06:00";0;295
"07/10/2024 07:00";22;935
"07/10/2024 08:00";65;2166
"07/10/2024 09:00";76;2469
"07/10/2024 10:00";95;3615
"07/10/2024 11:00";80;4954
"07/10/2024 12:00";195;9226
"07/10/2024 13:00";194;9192
"07/10/2024 14:00";102;5962
"07/10/2024 15:00";63;6337
"07/10/2024 16:00";53;8214
"07/10/2024 17:00";89;7948
"07/10/2024 18:00";49;7519
"07/10/2024 19:00";15;3033
"07/10/2024 20:00";0;1380
"07/10/2024 21:00";1;739
"07/10/2024 22:00";0;495
"07/10/2024 23:00";0;318
"08/10/2024 00:00";0;106
"08/10/2024 01:00";0;39
"08/10/2024 02:00";0;23
"08/10/2024 03:00";0;29
"08/10/2024 04:00";0;15
"08/10/2024 05:00";0;114
"08/10/2024 06:00";0;184
"08/10/2024 07:00";34;1024
"08/10/2024 08:00";77;2199
"08/10/2024 09:00";95;2908
"08/10/2024 10:00";78;3251
"08/10/2024 11:00";82;4727
"08/10/2024 12:00";212;8497
"08/10/2024 13:00";216;7954
"08/10/2024 14:00";106;6533
"08/10/2024 15:00";60;6565
"08/10/2024 16:00";78;8073
"08/10/2024 17:00";59;8442
"08/10/2024 18:00";61;7025
"08/10/2024 19:00";18;4356
"08/10/2024 20:00";0;1889
"08/10/2024 21:00";0;1199
"08/10/2024 22:00";0;847
"08/10/2024 23:00";0;636
"09/10/2024 00:00";0;181
"09/10/2024 01:00";0;99
"09/10/2024 02:00";0;57
"09/10/2024 03:00";0;21
"09/10/2024 04:00";0;19
"09/10/2024 05:00";0;92
"09/10/2024 06:00";0;272
"09/10/2024 07:00";30;1179
"09/10/2024 08:00";66;2226
"09/10/2024 09:00";110;2513
"09/10/2024 10:00";67;3336
"09/10/2024 11:00";83;3730
"09/10/2024 12:00";193;6495
"09/10/2024 13:00";152;5550
"09/10/2024 14:00";63;4004
"09/10/2024 15:00";67;4414
"09/10/2024 16:00";66;4086
"09/10/2024 17:00";78;3707
"09/10/2024 18:00";47;3370
"09/10/2024 19:00";15;1395
"09/10/2024 20:00";0;718
"09/10/2024 21:00";0;411
"09/10/2024 22:00";0;255
"09/10/2024 23:00";0;158
"10/10/2024 00:00";0;30
"10/10/2024 01:00";0;14
"10/10/2024 02:00";0;37
"10/10/2024 03:00";0;24
"10/10/2024 04:00";0;14
"10/10/2024 05:00";0;92
"10/10/2024 06:00";0;183
"10/10/2024 07:00";19;632
"10/10/2024 08:00";83;2701
"10/10/2024 09:00";117;3215
"10/10/2024 10:00";88;3384
"10/10/2024 11:00";91;5412
"10/10/2024 12:00";226;8205
"10/10/2024 13:00";210;7553
"10/10/2024 14:00";103;5065
"10/10/2024 15:00";92;5113
"10/10/2024 16:00";75;7208
"10/10/2024 17:00";79;7494
"10/10/2024 18:00";50;5345
"10/10/2024 19:00";21;3675
"10/10/2024 20:00";2;1594
"10/10/2024 21:00";0;1037
"10/10/2024 22:00";0;1075
"10/10/2024 23:00";0;541
"11/10/2024 00:00";0;266
"11/10/2024 01:00";0;40
"11/10/2024 02:00";0;41
"11/10/2024 03:00";0;14
"11/10/2024 04:00";0;9
"11/10/2024 05:00";0;70
"11/10/2024 06:00";1;181
"11/10/2024 07:00";16;908
"11/10/2024 08:00";63;1791
"11/10/2024 09:00";86;2907
"11/10/2024 10:00";69;3550
"11/10/2024 11:00";103;4907
"11/10/2024 12:00";167;7932
"11/10/2024 13:00";163;7918
"11/10/2024 14:00";102;7067
"11/10/2024 15:00";92;8794
"11/10/2024 16:00";105;9894
"11/10/2024 17:00";70;9587
"11/10/2024 18:00";65;7931
"11/10/2024 19:00";23;4327
"11/10/2024 20:00";0;2545
"11/10/2024 21:00";0;1652
"11/10/2024 22:00";0;1067
"11/10/2024 23:00";0;1047
"12/10/2024 00:00";0;446
"12/10/2024 01:00";0;189
"12/10/2024 02:00";0;117
"12/10/2024 03:00";0;56
"12/10/2024 04:00";0;54
"12/10/2024 05:00";0;103
"12/10/2024 06:00";0;195
"12/10/2024 07:00";0;348
"12/10/2024 08:00";16;804
"12/10/2024 09:00";77;1735
"12/10/2024 10:00";100;3417
"12/10/2024 11:00";104;5588
"12/10/2024 12:00";154;7095
"12/10/2024 13:00";171;9028
"12/10/2024 14:00";162;10691
"12/10/2024 15:00";158;10710
"12/10/2024 16:00";162;10495
"12/10/2024 17:00";136;10029
"12/10/2024 18:00";82;9595
"12/10/2024 19:00";26;4009
"12/10/2024 20:00";0;2412
"12/10/2024 21:00";0;1378
"12/10/2024 22:00";0;1140
"12/10/2024 23:00";0;640
"13/10/2024 00:00";0;261
"13/10/2024 01:00";0;265
"13/10/2024 02:00";0;104
"13/10/2024 03:00";0;53
"13/10/2024 04:00";0;43
"13/10/2024 05:00";0;81
"13/10/2024 06:00";0;116
"13/10/2024 07:00";0;125
"13/10/2024 08:00";0;309
"13/10/2024 09:00";20;774
"13/10/2024 10:00";43;1205
"13/10/2024 11:00";48;1665
"13/10/2024 12:00";44;1984
"13/10/2024 13:00";55;2240
"13/10/2024 14:00";58;2325
"13/10/2024 15:00";60;2599
"13/10/2024 16:00";21;2308
"13/10/2024 17:00";0;1912
"13/10/2024 18:00";0;2006
"13/10/2024 19:00";0;1551
"13/10/2024 20:00";0;1035
"13/10/2024 21:00";0;1030
"13/10/2024 22:00";0;598
"13/10/2024 23:00";0;351
"14/10/2024 00:00";0;130
"14/10/2024 01:00";0;57
"14/10/2024 02:00";0;20
"14/10/2024 03:00";0;60
"14/10/2024 04:00";0;21
"14/10/2024 05:00";0;99
"14/10/2024 06:00";0;253
"14/10/2024 07:00";16;881
"14/10/2024 08:00";52;1904
"14/10/2024 09:00";95;2248
"14/10/2024 10:00";97;2267
"14/10/2024 11:00";75;2261
"14/10/2024 12:00";160;4798
"14/10/2024 13:00";133;5105
"14/10/2024 14:00";110;3210
"14/10/2024 15:00";71;3495
"14/10/2024 16:00";57;5879
"14/10/2024 17:00";53;6116
"14/10/2024 18:00";58;5773
"14/10/2024 19:00";17;3051
"14/10/2024 20:00";0;1545
"14/10/2024 21:00";1;1156
"14/10/2024 22:00";0;625
"14/10/2024 23:00";0;501
"15/10/2024 00:00";0;96
"15/10/2024 01:00";0;40
"15/10/2024 02:00";0;27
"15/10/2024 03:00";0;16
"15/10/2024 04:00";0;20
"15/10/2024 05:00";0;102
"15/10/2024 06:00";2;221
"15/10/2024 07:00";33;1075
"15/10/2024 08:00";81;2392
"15/10/2024 09:00";90;2590
"15/10/2024 10:00";86;3223
"15/10/2024 11:00";78;4006
"15/10/2024 12:00";206;8393
"15/10/2024 13:00";196;7463
"15/10/2024 14:00";102;5928
"15/10/2024 15:00";74;6590
"15/10/2024 16:00";92;7828
"15/10/2024 17:00";95;7998
"15/10/2024 18:00";109;7549
"15/10/2024 19:00";24;3962
"15/10/2024 20:00";3;1818
"15/10/2024 21:00";1;1386
"15/10/2024 22:00";0;975
"15/10/2024 23:00";0;479
"16/10/2024 00:00";0;126
"16/10/2024 01:00";0;52
"16/10/2024 02:00";0;31
"16/10/2024 03:00";0;15
"16/10/2024 04:00";0;12
"16/10/2024 05:00";0;107
"16/10/2024 06:00";0;297
"16/10/2024 07:00";19;1043
"16/10/2024 08:00";66;2398
"16/10/2024 09:00";87;2485
"16/10/2024 10:00";52;3227
"16/10/2024 11:00";80;4260
"16/10/2024 12:00";164;8096
"16/10/2024 13:00";190;9132
"16/10/2024 14:00";79;6752
"16/10/2024 15:00";93;7432
"16/10/2024 16:00";73;7670
"16/10/2024 17:00";86;8920
"16/10/2024 18:00";55;7015
"16/10/2024 19:00";13;4652
"16/10/2024 20:00";0;2019
"16/10/2024 21:00";0;1482
"16/10/2024 22:00";0;1100
"16/10/2024 23:00";0;753
"17/10/2024 00:00";0;245
"17/10/2024 01:00";0;77
"17/10/2024 02:00";0;37
"17/10/2024 03:00";0;18
"17/10/2024 04:00";0;19
"17/10/2024 05:00";0;86
"17/10/2024 06:00";0;288
"17/10/2024 07:00";14;973
"17/10/2024 08:00";60;2282
"17/10/2024 09:00";98;2688
"17/10/2024 10:00";100;3191
"17/10/2024 11:00";59;4082
"17/10/2024 12:00";203;7783
"17/10/2024 13:00";167;6883
"17/10/2024 14:00";99;6440
"17/10/2024 15:00";85;6612
"17/10/2024 16:00";86;7932
"17/10/2024 17:00";56;8244
"17/10/2024 18:00";47;7516
"17/10/2024 19:00";22;3594
"17/10/2024 20:00";0;1758
"17/10/2024 21:00";0;1325
"17/10/2024 22:00";0;1061
"17/10/2024 23:00";0;594
"18/10/2024 00:00";0;232
"18/10/2024 01:00";0;61
"18/10/2024 02:00";0;52
"18/10/2024 03:00";0;46
"18/10/2024 04:00";0;53
"18/10/2024 05:00";0;137
"18/10/2024 06:00";0;224
"18/10/2024 07:00";19;999
"18/10/2024 08:00";74;2675
"18/10/2024 09:00";90;2792
"18/10/2024 10:00";91;3275
"18/10/2024 11:00";98;4187
"18/10/2024 12:00";180;7298
"18/10/2024 13:00";166;7558
"18/10/2024 14:00";106;8519
"18/10/2024 15:00";73;8025
"18/10/2024 16:00";79;8952
"18/10/2024 17:00";66;8898
"18/10/2024 18:00";70;7905
"18/10/2024 19:00";19;4240
"18/10/2024 20:00";1;2539
"18/10/2024 21:00";0;1996
"18/10/2024 22:00";0;1468
"18/10/2024 23:00";0;1160
"19/10/2024 00:00";0;455
"19/10/2024 01:00";0;98
"19/10/2024 02:00";0;58
"19/10/2024 03:00";0;29
"19/10/2024 04:00";0;34
"19/10/2024 05:00";0;64
"19/10/2024 06:00";0;137
"19/10/2024 07:00";1;451
"19/10/2024 08:00";18;734
"19/10/2024 09:00";61;1869
"19/10/2024 10:00";105;3907
"19/10/2024 11:00";124;6142
"19/10/2024 12:00";152;8087
"19/10/2024 13:00";180;9073
"19/10/2024 14:00";147;10839
"19/10/2024 15:00";129;11341
"19/10/2024 16:00";153;12261
"19/10/2024 17:00";121;11437
"19/10/2024 18:00";70;9913
"19/10/2024 19:00";33;5196
"19/10/2024 20:00";0;3221
"19/10/2024 21:00";0;2065
"19/10/2024 22:00";0;1469
"19/10/2024 23:00";0;1188
"20/10/2024 00:00";0;641
"20/10/2024 01:00";0;300
"20/10/2024 02:00";0;162
"20/10/2024 03:00";0;88
"20/10/2024 04:00";0;110
"20/10/2024 05:00";0;72
"20/10/2024 06:00";0;106
"20/10/2024 07:00";0;168
"20/10/2024 08:00";0;493
"20/10/2024 09:00";11;648
"20/10/2024 10:00";35;1043
"20/10/2024 11:00";48;1784
"20/10/2024 12:00";53;1853
"20/10/2024 13:00";57;2153
"20/10/2024 14:00";30;2394
"20/10/2024 15:00";51;3135
"20/10/2024 16:00";22;3112
"20/10/2024 17:00";0;2560
"20/10/2024 18:00";0;2304
"20/10/2024 19:00";0;1824
"20/10/2024 20:00";0;1266
"20/10/2024 21:00";0;1207
"20/10/2024 22:00";0;637
"20/10/2024 23:00";0;523
"21/10/2024 00:00";0;124
"21/10/2024 01:00";0;31
"21/10/2024 02:00";0;19
"21/10/2024 03:00";0;11
"21/10/2024 04:00";0;5
"21/10/2024 05:00";0;47
"21/10/2024 06:00";1;256
"21/10/2024 07:00";17;594
"21/10/2024 08:00";41;1435
"21/10/2024 09:00";70;1227
"21/10/2024 10:00";60;1119
"21/10/2024 11:00";83;2019
"21/10/2024 12:00";152;3922
"21/10/2024 13:00";169;5906
"21/10/2024 14:00";90;5194
"21/10/2024 15:00";83;3671
"21/10/2024 16:00";71;5758
"21/10/2024 17:00";66;6709
"21/10/2024 18:00";58;6197
"21/10/2024 19:00";17;3202
"21/10/2024 20:00";0;1700
"21/10/2024 21:00";0;987
"21/10/2024 22:00";0;307
"21/10/2024 23:00";0;363
"22/10/2024 00:00";0;44
"22/10/2024 01:00";0;33
"22/10/2024 02:00";0;21
"22/10/2024 03:00";0;8
"22/10/2024 04:00";0;50
"22/10/2024 05:00";0;100
"22/10/2024 06:00";2;235
"22/10/2024 07:00";22;724
"22/10/2024 08:00";60;1871
"22/10/2024 09:00";14;446
"22/10/2024 10:00";;
"22/10/2024 11:00";;
"22/10/2024 12:00";;
"22/10/2024 13:00";;
"22/10/2024 14:00";;
"22/10/2024 15:00";;
"22/10/2024 16:00";;
"22/10/2024 17:00";;
"22/10/2024 18:00";;
"22/10/2024 19:00";;
"22/10/2024 20:00";;
"22/10/2024 21:00";;
"22/10/2024 22:00";;
"22/10/2024 23:00";;
