Category;Pink Gellac Antwerpen;Pink Gellac Antwerpen;Pink Gellac Antwerpen
1/07/2024 0:00;0;0:17:44;14
1/07/2024 1:00;0;0:17:44;14,2
1/07/2024 2:00;0;0:17:44;13,7
1/07/2024 3:00;0;0:17:44;13,5
1/07/2024 4:00;0;0:17:44;12,7
1/07/2024 5:00;0;0:17:44;12,3
1/07/2024 6:00;2;0:17:44;12,4
1/07/2024 7:00;0;0:17:44;13,5
1/07/2024 8:00;1;0:17:44;15
1/07/2024 9:00;1;0:17:44;16,3
1/07/2024 10:00;53;0:17:44;16,6
1/07/2024 11:00;108;0:17:44;17,4
1/07/2024 12:00;76;0:17:44;18
1/07/2024 13:00;106;0:17:44;19,1
1/07/2024 14:00;75;0:17:44;19,5
1/07/2024 15:00;83;0:17:44;18,9
1/07/2024 16:00;88;0:17:44;18,8
1/07/2024 17:00;35;0:17:44;18,8
1/07/2024 18:00;4;0:17:44;19,5
1/07/2024 19:00;0;0:17:44;18,9
1/07/2024 20:00;0;0:17:44;18,5
1/07/2024 21:00;0;0:17:44;16,6
1/07/2024 22:00;0;0:17:44;15,8
1/07/2024 23:00;0;0:17:44;15,3
2/07/2024 0:00;0;0:18:53;15,5
2/07/2024 1:00;0;0:18:53;16,2
2/07/2024 2:00;0;0:18:53;15,8
2/07/2024 3:00;0;0:18:53;15,4
2/07/2024 4:00;0;0:18:53;14,7
2/07/2024 5:00;0;0:18:53;14,3
2/07/2024 6:00;0;0:18:53;14,4
2/07/2024 7:00;0;0:18:53;14,7
2/07/2024 8:00;0;0:18:53;14,8
2/07/2024 9:00;4;0:18:53;15,2
2/07/2024 10:00;61;0:18:53;15,9
2/07/2024 11:00;81;0:18:53;16,6
2/07/2024 12:00;55;0:18:53;17
2/07/2024 13:00;70;0:18:53;17
2/07/2024 14:00;69;0:18:53;17,1
2/07/2024 15:00;105;0:18:53;16,8
2/07/2024 16:00;57;0:18:53;17
2/07/2024 17:00;76;0:18:53;17
2/07/2024 18:00;8;0:18:53;17,1
2/07/2024 19:00;0;0:18:53;16,7
2/07/2024 20:00;0;0:18:53;16,1
2/07/2024 21:00;0;0:18:53;15,5
2/07/2024 22:00;0;0:18:53;14,8
2/07/2024 23:00;0;0:18:53;14,1
3/07/2024 0:00;0;0:24:22;13,3
3/07/2024 1:00;0;0:24:22;12,9
3/07/2024 2:00;0;0:24:22;13,1
3/07/2024 3:00;0;0:24:22;13,1
3/07/2024 4:00;0;0:24:22;13
3/07/2024 5:00;0;0:24:22;12,7
3/07/2024 6:00;0;0:24:22;13
3/07/2024 7:00;0;0:24:22;13,8
3/07/2024 8:00;0;0:24:22;13,9
3/07/2024 9:00;5;0:24:22;14
3/07/2024 10:00;60;0:24:22;13,3
3/07/2024 11:00;71;0:24:22;13,2
3/07/2024 12:00;74;0:24:22;13,9
3/07/2024 13:00;55;0:24:22;14,8
3/07/2024 14:00;80;0:24:22;15,7
3/07/2024 15:00;88;0:24:22;16,7
3/07/2024 16:00;75;0:24:22;17,4
3/07/2024 17:00;77;0:24:22;17,6
3/07/2024 18:00;6;0:24:22;17
3/07/2024 19:00;0;0:24:22;16,5
3/07/2024 20:00;0;0:24:22;15,8
3/07/2024 21:00;0;0:24:22;15,7
3/07/2024 22:00;0;0:24:22;15,7
3/07/2024 23:00;0;0:24:22;15,5
4/07/2024 0:00;0;0:18:40;15,8
4/07/2024 1:00;0;0:18:40;14,8
4/07/2024 2:00;0;0:18:40;14,6
4/07/2024 3:00;0;0:18:40;14,8
4/07/2024 4:00;0;0:18:40;15
4/07/2024 5:00;0;0:18:40;15,4
4/07/2024 6:00;0;0:18:40;15,5
4/07/2024 7:00;0;0:18:40;15,3
4/07/2024 8:00;0;0:18:40;15,2
4/07/2024 9:00;8;0:18:40;16,4
4/07/2024 10:00;62;0:18:40;16,9
4/07/2024 11:00;86;0:18:40;17,6
4/07/2024 12:00;78;0:18:40;18
4/07/2024 13:00;97;0:18:40;18,5
4/07/2024 14:00;73;0:18:40;19,1
4/07/2024 15:00;81;0:18:40;19,9
4/07/2024 16:00;79;0:18:40;20
4/07/2024 17:00;48;0:18:40;19,9
4/07/2024 18:00;6;0:18:40;19,6
4/07/2024 19:00;0;0:18:40;19
4/07/2024 20:00;0;0:18:40;17,8
4/07/2024 21:00;0;0:18:40;16,6
4/07/2024 22:00;0;0:18:40;15,7
4/07/2024 23:00;0;0:18:40;14,7
5/07/2024 0:00;0;0:21:01;14,6
