;IN;OUT;MIN;MOUT;WIN;WOUT;GIN;GOUT;Passersby
07/10/2024 00:00;5;0;0;0;0;0;0;0;32
07/10/2024 01:00;6;0;0;0;0;0;0;0;32
07/10/2024 02:00;0;0;0;0;0;0;0;0;32
07/10/2024 03:00;0;0;0;0;0;0;0;0;27
07/10/2024 04:00;0;0;0;0;0;0;0;0;3
07/10/2024 05:00;0;0;0;0;0;0;0;0;77
07/10/2024 06:00;0;0;0;0;0;0;0;0;295
07/10/2024 07:00;22;17;0;0;0;0;0;0;935
07/10/2024 08:00;65;49;0;0;0;0;0;0;2166
07/10/2024 09:00;76;74;0;0;0;0;0;0;2469
07/10/2024 10:00;95;93;0;0;0;0;0;0;3615
07/10/2024 11:00;80;66;0;0;0;0;0;0;4954
07/10/2024 12:00;195;168;0;0;0;0;0;0;9226
07/10/2024 13:00;194;204;0;0;0;0;0;0;9192
07/10/2024 14:00;102;118;0;0;0;0;0;0;5962
07/10/2024 15:00;63;68;0;0;0;0;0;0;6337
07/10/2024 16:00;53;71;0;0;0;0;0;0;8214
07/10/2024 17:00;89;85;0;0;0;0;0;0;7948
07/10/2024 18:00;49;55;0;0;0;0;0;0;7519
07/10/2024 19:00;15;35;0;0;0;0;0;0;3033
07/10/2024 20:00;0;0;0;0;0;0;0;0;1380
07/10/2024 21:00;1;1;0;0;0;0;0;0;739
07/10/2024 22:00;0;0;0;0;0;0;0;0;495
07/10/2024 23:00;0;0;0;0;0;0;0;0;318
08/10/2024 00:00;1;0;0;0;0;0;0;0;106
08/10/2024 01:00;0;0;0;0;0;0;0;0;39
08/10/2024 02:00;0;0;0;0;0;0;0;0;23
08/10/2024 03:00;0;0;0;0;0;0;0;0;29
08/10/2024 04:00;0;0;0;0;0;0;0;0;15
08/10/2024 05:00;0;0;0;0;0;0;0;0;114
08/10/2024 06:00;0;0;0;0;0;0;0;0;184
08/10/2024 07:00;34;21;0;0;0;0;0;0;1024
08/10/2024 08:00;77;68;0;0;0;0;0;0;2199
08/10/2024 09:00;95;82;0;0;0;0;0;0;2908
08/10/2024 10:00;78;65;0;0;0;0;0;0;3251
08/10/2024 11:00;82;80;0;0;0;0;0;0;4727
08/10/2024 12:00;212;182;0;0;0;0;0;0;8497
08/10/2024 13:00;216;238;0;0;0;0;0;0;7954
08/10/2024 14:00;106;123;0;0;0;0;0;0;6533
08/10/2024 15:00;60;71;0;0;0;0;0;0;6565
08/10/2024 16:00;78;80;0;0;0;0;0;0;8073
08/10/2024 17:00;59;69;0;0;0;0;0;0;8442
08/10/2024 18:00;61;65;0;0;0;0;0;0;7025
08/10/2024 19:00;18;41;0;0;0;0;0;0;4356
08/10/2024 20:00;0;1;0;0;0;0;0;0;1889
08/10/2024 21:00;0;0;0;0;0;0;0;0;1199
08/10/2024 22:00;0;0;0;0;0;0;0;0;847
08/10/2024 23:00;0;0;0;0;0;0;0;0;636
09/10/2024 00:00;0;0;0;0;0;0;0;0;181
09/10/2024 01:00;0;0;0;0;0;0;0;0;99
09/10/2024 02:00;0;0;0;0;0;0;0;0;57
09/10/2024 03:00;0;0;0;0;0;0;0;0;21
09/10/2024 04:00;0;0;0;0;0;0;0;0;19
09/10/2024 05:00;0;0;0;0;0;0;0;0;92
09/10/2024 06:00;0;0;0;0;0;0;0;0;272
09/10/2024 07:00;30;24;0;0;0;0;0;0;1179
09/10/2024 08:00;66;49;0;0;0;0;0;0;2226
09/10/2024 09:00;110;88;0;0;0;0;0;0;2513
09/10/2024 10:00;67;81;0;0;0;0;0;0;3336
09/10/2024 11:00;83;75;6;3;16;13;24;24;3730
09/10/2024 12:00;193;159;46;27;105;86;159;137;6495
09/10/2024 13:00;152;180;32;31;73;87;133;147;5550
09/10/2024 14:00;63;75;15;14;32;35;57;66;4004
09/10/2024 15:00;67;57;15;11;25;25;58;52;4414
09/10/2024 16:00;66;74;7;6;29;29;60;68;4086
09/10/2024 17:00;78;81;7;5;32;37;70;73;3707
09/10/2024 18:00;47;75;8;15;21;35;44;67;3370
09/10/2024 19:00;15;34;0;4;7;17;15;32;1395
09/10/2024 20:00;0;0;0;0;0;0;0;0;718
09/10/2024 21:00;0;1;0;0;0;0;0;1;411
